order_id,order_created,order_grand_total,order_shipping_charge,order_item_total_price
1798177,2015-10-01 03:04:42,45.95,5.95,40.0
1798178,2015-10-01 03:05:58,22.12,5.0,16.0
1798179,2015-10-01 03:06:02,32.25,0.0,0.0
1798180,2015-10-01 03:06:38,52.0,0.0,52.0
1798181,2015-10-01 03:06:57,10.64,2.0,8.64
1798182,2015-10-01 03:07:13,893.7999999999997,0.0,820.0
1798183,2015-10-01 03:07:27,215.09,4.0,195.0
1798184,2015-10-01 03:07:55,94.93,5.95,39.98
1798185,2015-10-01 03:08:08,68.0,4.0,64.0
1798186,2015-10-01 03:08:40,46.0,6.0,40.0
1798187,2015-10-01 03:08:58,370.0,0.0,370.0
1798188,2015-10-01 03:09:17,51.0,0.0,60.0
1798189,2015-10-01 03:09:18,15.0,0.0,15.0
1798190,2015-10-01 03:09:58,63.75,0.0,75.0
1798191,2015-10-01 03:10:39,500.0,0.0,500.0
1798192,2015-10-01 03:10:51,136.1999999999999,7.5,117.0
1798193,2015-10-01 03:10:56,294.5,12.5,282.0
1798194,2015-10-01 03:11:07,51.0,0.0,60.0
1798195,2015-10-01 03:11:13,0.0,0.0,0.0
1798196,2015-10-01 03:11:45,21.43,0.0,20.0
1798197,2015-10-01 03:11:50,93.74,0.0,99.0
1798198,2015-10-01 03:12:37,17.0,0.0,17.0
1798199,2015-10-01 03:13:42,53.0,5.0,60.0
1798200,2015-10-01 03:13:46,1092.0,12.0,1000.0
1798201,2015-10-01 03:13:49,44.76999999999999,5.950000000000002,48.150000000000006
1798202,2015-10-01 03:14:04,17.36,0.0,16.0
1798203,2015-10-01 03:14:35,77.76,0.0,80.0
1798204,2015-10-01 03:15:19,50.0,0.0,50.0
1798205,2015-10-01 03:15:32,27.0,0.0,30.0
1798206,2015-10-01 03:16:09,25.19,7.0,17.0
1798207,2015-10-01 03:17:18,267.47000000000014,0.0,249.97
1798208,2015-10-01 03:17:45,0.0,0.0,0.0
1798209,2015-10-01 03:17:49,34.73,0.0,32.0
1798210,2015-10-01 03:18:15,88.93000000000002,5.949999999999999,82.97999999999999
1798211,2015-10-01 03:19:02,17.36,0.0,16.0
1798212,2015-10-01 03:20:07,50.0,0.0,50.0
1798213,2015-10-01 03:20:28,0.0,0.0,500.0
1798214,2015-10-01 03:20:53,0.0,0.0,0.0
1798215,2015-10-01 03:20:58,432.84000000000003,0.0,405.0
1798216,2015-10-01 03:22:11,105.0,0.0,150.0
1798217,2015-10-01 03:24:14,27.0,0.0,30.0
